Water Body Name,City,Call Category,County,Date ID,Comments,Report Date,Call ID
Bridge & RR Tracks,Port Charlotte,Mammal / Turtle,Charlotte,30200,Manatee,3/2/2000,2271
Bear Creek Bayou,Pensacola,Fish Kill,Escambia,30200,"Catfish, Elwie, Gar, Jellies",3/2/2000,2272
Unknown Water Body,Unknown,Fish Kill,Unknown,30600,Grouper,3/6/2000,2275
Dunns Creek,Jacksonville,Abnormal Appearance,Duval,30600,Species Unknown,3/6/2000,2276
On Beach Gulf Shore Blvd,Naples,Fish Kill,Collier,30700,Species Unknown,3/7/2000,2278
Indian River Plantation,Stuart,Abnormal Appearance,Indian River,30700,Jacks,3/7/2000,2279
Choctawhatchee Bay,Panama City,Fish Kill,Bay,30800,Gar,3/8/2000,2280
Sharkey Channel,Unknown,Mammal / Turtle,Monroe,30900,Sea Turtle,3/9/2000,2282
STL Inlet Crossroads,Palm City,Abnormal Appearance,Martin,30900,Snook,3/9/2000,2286
Venice Pier,Venice,Fish Kill,Sarasota,30900,"Sheepshead, Mackerel",3/9/2000,2287
Choctawhatchee Bay,Niceville,Fish Kill,Okaloosa,31000,"Gar, Crabs, Blue Fish",3/10/2000,2288
Choctawhatchee Bay,Santa Rosa Beach,Fish Kill,Walton,31100,Baitfish,3/11/2000,2291
Bartlett Park,St Petersburg,Fish Kill,Pinellas,31300,"Snook, Redfish",3/13/2000,2292
Clearwater Beach,Clearwater,Fish Kill,Pinellas,31300,Seahares,3/13/2000,2293
Club Med (Sandpiper),Port St. Lucie,Abnormal Appearance,St. Lucie,31300,Snook,3/13/2000,2294
Unknown Water Body,Vero Beach,Abnormal Appearance,Indian River,31400,Speckled Trout,3/14/2000,2296
Choctawhatchee Bay,Point Washington,Fish Kill,Walton,31400,"Gar, Otter",3/14/2000,2298
Rivergate Park,Port St. Lucie,Abnormal Appearance,St. Lucie,31400,Jack Crevalle,3/14/2000,2300
C-24 Canal,Jensen Beach,Fish Kill,Martin,31400,Mullet,3/14/2000,2301
Unknown Water Body,Palm City,Abnormal Appearance,Martin,31400,Jack Crevalle,3/14/2000,2303
Blind River,Goodland,Mammal / Turtle,Collier,31400,Sea Turtle,3/14/2000,2304
Unknown Water Body,Port St. Lucie,Abnormal Appearance,St. Lucie,31500,"Jack, Croakers",3/15/2000,2306
Rivergate Fish,Port St. Lucie,Abnormal Appearance,St. Lucie,31500,Mangrove Snapper,3/15/2000,2307
Unknown Water Body,Palm Beach,Abnormal Appearance,Martin,31600,Snook,3/16/2000,2309
Marco Island Bridge,Marco Island,Fish Kill,Collier,31700,"Rays, Horseshoe Crabs",3/17/2000,2310
Unknown Water Body,Stuart,Abnormal Appearance,Martin,31700,Jacks,3/17/2000,2312
Unknown Water Body,Stuart,Fish Kill,St. Lucie,31800,Jack,3/18/2000,2314
Unknown Water Body,Stuart,Fish Kill,Martin,31800,,3/18/2000,2315
Unknown Water Body,Marco Island,Fish Kill,Collier,32000,Species Unknown,3/20/2000,2318
Roberts Bay,Charlotte Harbor,Fish Kill,Charlotte,32000,"Jacks, Catfish",3/20/2000,2319
Roberts Bay,Marco Island,Fish Kill,Collier,32200,Species Unknown,3/22/2000,2322
Lake Hourglass,Orlando,Fish Kill,Orange,32300,Tilapia,3/23/2000,2324
Basin Bayou,Freeport,Fish Kill,Walton,32300,Gar,3/23/2000,2325
Choctawhatchee Bay,Niceville,Fish Kill,Okaloosa,32500,"Gar, Crabs",3/25/2000,2327
South Fork SLR marker 37,St Lucie Inlet,Abnormal Appearance,Martin,32600,Jacks,3/26/2000,2328
Choctawhatchee Beach,Freeport,Fish Kill,Walton,32600,"Gar, Catfish, Gar",3/26/2000,2329
Cocoanut Point,Seminole Shores,Abnormal Appearance,St. Lucie,32600,Jack Crevalle,3/26/2000,2330
Unknown Water Body,Okeechobee,Fish Kill,Okeechobee,32900,Trout,3/29/2000,2331
North Fork,Port St. Lucie,Abnormal Appearance,St. Lucie,32900,Jack Crevalle,3/29/2000,2332
Unknown Water Body,St James City,Fish Kill,Lee,40500,"Grass Carp, Species Unknown",4/5/2000,2336
Lake Osborn,Lake Worth,Abnormal Appearance,Palm Beach,40500,Tilapia,4/5/2000,2337
Unknown Water Body,Venice,Abnormal Appearance,Sarasota,40500,Species Unknown,4/5/2000,2339
Santa Rosa Sound,Mary Esther,Mammal / Turtle,Okaloosa,40600,Dolphin,4/6/2000,2340
Deckhands Marine,Shalimar,Mammal / Turtle,Okaloosa,40900,Dolphin,4/9/2000,2341
Unknown Water Body,Vero Beach,Abnormal Appearance,Indian River,41000,Species Unknown,4/10/2000,2342
Eglin Beach,Freeport,Fish Kill,Walton,41100,Gar,4/11/2000,2345
Vikings Landing,Port St. Lucie,Abnormal Appearance,St. Lucie,41100,"Crappie, Mullet",4/11/2000,2346
Cypress Creek,Fort Lauderdale,Fish Kill,Broward,41200,Grass Carp,4/12/2000,2347
Choctawhatchee Bay,Destin,Mammal / Turtle,Okaloosa,41200,Sea Turtle,4/12/2000,2348
Unknown Water Body,Sebastian,Abnormal Appearance,Indian River,41200,Trout,4/12/2000,2349
Goodland Caloosa Marina,Marco Island,Mammal / Turtle,Collier,41200,Manatee,4/12/2000,2350
Weekly Bayou,Myrtle Grove,Fish Kill,Escambia,41200,Choofers,4/12/2000,2351
Weekly Boggy & Bluewater Bayous,Niceville,Fish Kill,Okaloosa,41800,"Alewives, Croakers",4/18/2000,2354
Unknown Water Body,Lehigh Acres,Fish Kill,Lee,42000,Species Unknown,4/20/2000,2355
3 Mi E Navarre Bridge,Santa Rosa Beach,Fish Kill,Walton,42100,"Gar, Baitfish",4/21/2000,2357
Unknown Water Body,Winter Springs,Fish Kill,Seminole,42100,Bluegill,4/21/2000,2358
Unknown Water Body,Fort Lauderdale,Abnormal Appearance,Broward,42200,Snook,4/22/2000,2360
Everglade Lakes Mobile Home Park,Davie,Fish Kill,Monroe,42200,"Oscar, Brim, Bass",4/22/2000,2361
Cypress Creek Canal,Fort Lauderdale,Abnormal Appearance,Broward,42500,"Mullet, Catfish",4/25/2000,2362
Sailfish Point,Palm City,Abnormal Appearance,Martin,42700,Mullet,4/27/2000,2364
1/2 Mi S St Lucie Inlet,St Lucie,Abnormal Appearance,St. Lucie,42800,Mullet,4/28/2000,2366
Sievers Landing CR39,Palm Harbor,Fish Kill,Pinellas,43000,"Bass, Perch",4/30/2000,2367
Sievers Landing,Palm Harbor,Fish Kill,Pinellas,50200,Species Unknown,5/2/2000,2369
Alafia River,Riverview,Fish Kill,Hillsborough,50600,Baitfish,5/6/2000,2372
Alafia River,Riverview,Fish Kill,Hillsborough,50600,Baitfish,5/6/2000,2373
Buckhorn Spring,Riverview,Fish Kill,Hillsborough,50600,"Perch, Minnows",5/6/2000,2374
Alafia Bridge,Riverview,Fish Kill,Hillsborough,50600,Baitfish,5/6/2000,2375
Alafia - Buckhorn Springs,Riverview,Fish Kill,Hillsborough,50600,"Minnows, Perch, Redfish",5/6/2000,2376
Alafia River,Lakeland,Fish Kill,Polk,50600,Species Unknown,5/6/2000,2378
Alafia River,Ruskin,Fish Kill,Hillsborough,50700,"Flounder, Redfish, Snook, Mullet, Bass, Catfish",5/7/2000,2379
Alafia River,Riverview,Fish Kill,Hillsborough,50700,"Sheepshead, Minnows",5/7/2000,2380
Alafia River,Riverview,Fish Kill,Hillsborough,50700,"Shad, Sheepshead",5/7/2000,2381
Alafia River,Riverview,Fish Kill,Hillsborough,50700,Species Unknown,5/7/2000,2382
Unknown Water Body,St Petersburg,Abnormal Appearance,Pinellas,50800,Species Unknown,5/8/2000,2386
Sunlit Cove,St Petersburg,Fish Kill,Pinellas,50900,Species Unknown,5/9/2000,2387
Peck's Lake,Gomez,Abnormal Appearance,Martin,51000,"Sheepshead, Mullet",5/10/2000,2388
Palm City Bridge,Palm City,Abnormal Appearance,Martin,51000,Croaker,5/10/2000,2389
150' Off Shore,Manasota Key,Discolored Water,Charlotte,51000,Species Unknown,5/10/2000,2390
Unknown Water Body,Unknown,Fish Kill,Unknown,51000,Species Unknown,5/10/2000,2391
Feed to Lake Seminole,Seminole,Fish Kill,Okaloosa,51100,Species Unknown,5/11/2000,2392
S of Ulmerton on Belcher,Largo,Fish Kill,Pinellas,51200,Tilapia,5/12/2000,2393
Friendly Village,Clearwater,Mammal / Turtle,Pinellas,51200,"Species Unknown, Turtles",5/12/2000,2395
Marsh Landing/Contra Beach,Palatka,Mammal / Turtle,Putnam,51300,"Turtles, Ducks",5/13/2000,2396
Unknown Water Body,Fort Myers,Mammal / Turtle,Lee,51501,Manatee,5/15/2000,2398
Feather Club Road,Clearwater,Fish Kill,Pinellas,51500,"Baitfish, Brim",5/15/2000,2399
Big Bend Power Plant,Apollo Beach,Fish Kill,Hillsborough,51600,"Sheepshead, Snook",5/16/2000,2400
Indian Bay Estates,Merritt Island,Fish Kill,Brevard,51600,"Brim, Bass, Tilapia",5/16/2000,2401
Unknown Water Body,Melbourne,Fish Kill,Brevard,51600,Species Unknown,5/16/2000,2402
Unknown Water Body,Orlando,Fish Kill,Orange,51600,Catfish,5/16/2000,2403
Unknown Water Body,Ocala,Fish Kill,Marion,51600,Species Unknown,5/16/2000,2404
Logans Gate,Tampa,Fish Kill,Hillsborough,51600,Species Unknown,5/16/2000,2405
Logans Gate,Tampa,Fish Kill,Hillsborough,51600,Species Unknown,5/16/2000,2406
Unknown Water Body,Tampa,Fish Kill,Hillsborough,51600,Species Unknown,5/16/2000,2407
Big Bend Power Plant,Plant City,Fish Kill,Hillsborough,51700,"Mullet, Drum, Catfish, Snook",5/17/2000,2408
Logans Gate,Tampa,Fish Kill,Hillsborough,51700,"Bass, Nile Perch, Brim, Bullhead",5/17/2000,2409
Willoughby's Creek,Stuart,Abnormal Appearance,Martin,51700,Mullet,5/17/2000,2410
C-25 Spillway,Fort Pierce,Abnormal Appearance,St. Lucie,51700,"Mullet, Catfish",5/17/2000,2411
Big Bend Power Plant,Plant City,Fish Kill,Hillsborough,51800,"Drum, Mullet, Angelfish, Catfish",5/18/2000,2412
Willoughby's Creek,Stuart,Fish Kill,Martin,51900,Mullet,5/19/2000,2414
Unknown Water Body,Lake Worth,Fish Kill,Palm Beach,51900,Species Unknown,5/19/2000,2416
Martin Mem Hospital,Stuart,Abnormal Appearance,Martin,52000,Mullet,5/20/2000,2417
Audobon Park,Homestead,Fish Kill,Miami-Dade,52000,Tarpon,5/22/2000,2418
Unknown Water Body,St Lucie,Abnormal Appearance,St. Lucie,52300,"Mullet, Catfish",5/23/2000,2419
County Line Rd & Dale Mabry,Land O' Lakes,Fish Kill,Pasco,52500,Nile Perch,5/25/2000,2420
MM 6&8 St Pete Bch,St Petersburg Beach,Fish Kill,Pinellas,52500,Species Unknown,5/25/2000,2421
Willoughby's Creek,Stuart,Abnormal Appearance,Martin,52500,Mullet,5/25/2000,2422
Unknown Water Body,Orange Park,Abnormal Appearance,Clay,52500,Species Unknown,5/25/2000,2424
Boca Ciega Bay,Gulfport,Fish Kill,Pinellas,52600,Species Unknown,5/26/2000,2425
Eagle Harbors,Orange Park,Fish Kill,Clay,52600,"Catfish, Bass, Bluegill, Shiners",5/26/2000,2426
Normandy Island,Miami Beach,Fish Kill,Miami-Dade,52600,Species Unknown,5/26/2000,2427
Unknown Water Body,St Petersburg,Fish Kill,Pinellas,52700,Species Unknown,5/27/2000,2428
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2429
Unknown Water Body,Jacksonville Beach,Fish Kill,Duval,52700,"Brim, Bass, Catfish, Bluegill",5/27/2000,2430
Unknown Water Body,Brandon,Fish Kill,Hillsborough,52700,Species Unknown,5/27/2000,2431
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2432
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,"Catfish, Brim, Shrimp, Crab",5/27/2000,2433
Blind Creek,Port St. Lucie,Mammal / Turtle,Martin,52700,Manatee,5/27/2000,2434
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,"Mullet, Croaker, Brim",5/27/2000,2435
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,"Trout, Bass",5/27/2000,2436
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2437
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,"Mullet, Redfish, Bluegill",5/27/2000,2438
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2439
Between Ocean & Intercoastal,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2440
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2441
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2442
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2443
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,Species Unknown,5/27/2000,2444
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,"Mullet, Bluegill",5/27/2000,2445
Lake Sanctuary,Jacksonville Beach,Fish Kill,Duval,52700,"Shad, Mullet, Brim, Catfish",5/27/2000,2446
Indian River,Palm Bay,Abnormal Appearance,Indian River,52900,"Mullet, Sheepshead, Menhaden",5/29/2000,2448
Jensen Beach Causeway,Jensen Beach,Abnormal Appearance,Martin,53000,Trout,5/30/2000,2450
Unknown Water Body,Hallandale,Abnormal Appearance,Broward,60100,"Mullet, Catfish",6/1/2000,2453
Tippio Creek,Apalachicola,Fish Kill,Franklin,60200,Species Unknown,6/2/2000,2454
Shangrila Subdivision,Seffner,Fish Kill,Hillsborough,60200,"Bass, Crappie, Tilapia",6/2/2000,2455
Channel G & Rocky Creek,Tampa,Fish Kill,Hillsborough,60800,Species Unknown,6/8/2000,2459
Lake Euclid,St Petersburg,Fish Kill,Pinellas,60900,Species Unknown,6/9/2000,2460
Rocky Creek,Tampa,Fish Kill,Hillsborough,60900,Species Unknown,6/9/2000,2461
Loggers Run,Boca Raton,Abnormal Appearance,Palm Beach,60900,"Carp, Catfish, Minnows",6/9/2000,2462
Estuary Condos,Stuart,Fish Kill,Martin,60900,"Brim, Bass",6/9/2000,2463
Poplar Circle,St Petersburg,Abnormal Appearance,Pinellas,90900,Catfish,6/9/2000,2464
N Skyway Fishing Pier,St Petersburg,Fish Kill,Pinellas,60900,Snook,6/9/2000,2465
Unknown Water Body,Unknown,Fish Kill,Unknown,61000,"Snook, Bass, Brim",6/10/2000,2466
Sheldon & Waters,Tampa,Fish Kill,Hillsborough,61000,Species Unknown,6/10/2000,2467
Sheldon & Mayflower,Tampa,Fish Kill,Hillsborough,61000,Species Unknown,6/10/2000,2468
Rocky Creek,Tampa,Fish Kill,Hillsborough,61100,"Snook, Bass",6/11/2000,2469
Doctor's Creek,Jacksonville,Fish Kill,Duval,61200,Catfish,6/12/2000,2470
Rocky Creek,Tampa,Fish Kill,Hillsborough,61200,Species Unknown,6/12/2000,2471
Mosquito Lagoon,Scottsmoor,Mammal / Turtle,Volusia,61700,Manatee,6/17/2000,2472
Unknown Water Body,Jacksonville,Abnormal Appearance,Duval,61900,Species Unknown,6/19/2000,2475
Unknown Water Body,Jacksonville,Abnormal Appearance,Duval,61900,Species Unknown,6/19/2000,2476
Unknown Water Body,Stuart,Other,Martin,61900,Pelican,6/19/2000,2477
Unknown Water Body,Jacksonville,Abnormal Appearance,Duval,61900,Species Unknown,6/19/2000,2478
Lake Meadows,Ocoee,Fish Kill,Polk,62000,Species Unknown,6/20/2000,2479
Unknown Water Body,Century,Fish Kill,Escambia,62500,Shiners,6/25/2000,2481
Lake Placid Mobile Home Park,St Petersburg,Fish Kill,Pinellas,62700,Species Unknown,6/27/2000,2486
Cow Creek,Palatka,Fish Kill,Putnam,62800,"Bass, Catfish, Baitfish, Brim",6/28/2000,2487
Lake Placid Mobile Home Park,St Petersburg,Fish Kill,Pinellas,62800,Species Unknown,6/28/2000,2488
Rotunda West,Rotonda,Fish Kill,Charlotte,62900,"Bass, Carp",6/29/2000,2490
Unknown Water Body,Holiday,Fish Kill,Pasco,62900,"Brim, Bass, Catfish",6/29/2000,2491
11 Mi from Polatka,Green Cove Springs,Fish Kill,Clay,63000,"Bluegill, Shellcracker, Catfish",6/30/2000,2492
Unknown Water Body,Melbourne,Abnormal Appearance,Brevard,63000,Red Drum,6/30/2000,2493
Tomoca River,Daytona Beach,Fish Kill,Volusia,63000,Whitefish,6/30/2000,2494
Unknown Water Body,Palm Beach,Abnormal Appearance,Martin,70300,Mullet,7/3/2000,2496
Loxahatchee River,West Palm Beach,Mammal / Turtle,Palm Beach,70300,"Bass, Carp, Bluegill",7/3/2000,2497
Burt Reynolds Boat Ramp,Jupiter,Fish Kill,Charlotte,70300,Stingrays,7/3/2000,2498
By Oil Refinery,Knights,Fish Kill,Hillsborough,70500,"Croakers, Pinfish, Catfish",7/5/2000,2499
Indian River Marker 169,Vero Beach,Mammal / Turtle,Indian River,70600,Sea Turtle,7/6/2000,2500
Flagler Beach,Flagler Beach,Fish Kill,Flagler,70800,Species Unknown,7/8/2000,2501
Cedar & Ortega Rivers,Jacksonville,Abnormal Appearance,Duval,71000,Crabs,7/10/2000,2503
Unknown Water Body,Lutz,Fish Kill,Hillsborough,71000,Silverfish,7/10/2000,2504
Unknown Water Body,Jacksonville,Abnormal Appearance,Duval,71200,Crabs,7/12/2000,2505
A1A by Seabreeze Hotel,Cocoa Beach,Fish Kill,Brevard,71300,"Whiting, Baitfish",7/13/2000,2506
Unknown Water Body,Lake City,Fish Kill,Columbia,71500,"Bass, Brim",7/15/2000,2507
Atlantic Beach,Titusville,Fish Kill,Brevard,71500,Species Unknown,7/15/2000,2509
Westshore & Browning,Tampa,Fish Kill,Hillsborough,71500,Species Unknown,7/15/2000,2510
Westshore & Browning,Tampa,Fish Kill,Hillsborough,71600,Whitebait,7/16/2000,2511
Quail Roost Drive,Miami,Mammal / Turtle,Miami-Dade,71600,"Turtles, Peacock, Bass",7/16/2000,2513
Reservation Golf Course,Mulberry,Fish Kill,Polk,71600,Tilapia,7/16/2000,2514
Reservation Golf Course,Mulberry,Fish Kill,Polk,71600,Tilapia,7/16/2000,2515
Waterway Townhouses,Satellite Beach,Fish Kill,Brevard,71900,Grass Carp,7/19/2000,2516
By Cleveland Clinic,Naples,Fish Kill,Collier,72000,Species Unknown,7/20/2000,2518
Patrick AFB,Cape Canaveral,Fish Kill,Brevard,72000,Species Unknown,7/20/2000,2519
Terra Ceia Bay,Palmetto,Fish Kill,Manatee,72000,"Snook, Redfish, Mullet, Trout",7/20/2000,2520
Unknown Water Body,Unknown,Fish Kill,Unknown,72100,"Snook, Mullet, Bluegill",7/21/2000,2522
St Johns H2o Mgmt,Titusville,Fish Kill,Brevard,72400,"Bass, Catfish",7/24/2000,2523
Myakka River,Myakka,Fish Kill,Charlotte,72400,Snook,7/24/2000,2525
Unknown Water Body,Satellite Beach,Fish Kill,Brevard,72500,Carp,7/25/2000,2526
Unknown Water Body,Palmetto,Fish Kill,Manatee,72500,"Perch, Mullet, Snook, Catfish",7/25/2000,2527
Turtle Creek,Stuart,Abnormal Appearance,Martin,72600,"Mullet, Catfish",7/26/2000,2528
Unknown Water Body,Cape Coral,Abnormal Appearance,Lee,76000,Catfish,7/26/2000,2529
Unknown Water Body,Palmetto,Fish Kill,Manatee,72600,"Mullet, Snook",7/26/2000,2530
Peters Creek,Fleming Island,Fish Kill,Clay,72600,Species Unknown,7/26/2000,2531
Unknown Water Body,Little Torch Key,Fish Kill,Monroe,72900,"Snapper, Grouper",7/29/2000,2535
Unknown Water Body,Little Torch Key,Fish Kill,Monroe,72900,Minnows,7/29/2000,2536
Caloosahatchee River,Cape Coral,Abnormal Appearance,Lee,72900,Catfish,7/29/2000,2537
Unknown Water Body,Little Torch Key,Fish Kill,Monroe,73100,Species Unknown,7/31/2000,2539
Unknown Water Body,Palm Bay,Abnormal Appearance,Martin,73100,Mullet,7/31/2000,2540
Unknown Water Body,Port Charlotte,Fish Kill,Charlotte,73100,Species Unknown,7/31/2000,2542
Unknown Water Body,Cape Coral,Fish Kill,Lee,73100,Catfish,7/31/2000,2543
Sebastian Inlet,Sebastian,Abnormal Appearance,Indian River,80100,Trout,8/1/2000,2544
Unknown Water Body,Riverview,Fish Kill,Hillsborough,80100,Nile Perch.,8/1/2000,2545
Lake Meadows,Sarasota,Fish Kill,Sarasota,80100,Species Unknown,8/1/2000,2548
Lockwood Lake,Sarasota,Fish Kill,Sarasota,80100,Species Unknown,8/1/2000,2549
Unknown Water Body,Vero Beach,Fish Kill,Indian River,80200,Red Drum,8/2/2000,2550
Lake Meadows,Sarasota,Fish Kill,Sarasota,80200,Species Unknown,8/2/2000,2551
Lake Meadows,Sarasota,Fish Kill,Sarasota,80200,Species Unknown,8/2/2000,2552
Unknown Water Body,Pasadena,Fish Kill,Pinellas,80300,Minnows,8/3/2000,2554
Unknown Water Body,Riverview,Fish Kill,Hillsborough,80300,"Bluegill, Bass, Perch",8/3/2000,2555
Meadowlawn,St Petersburg,Fish Kill,Pinellas,80400,Species Unknown,8/4/2000,2556
Lake Meadows,Sarasota,Fish Kill,Sarasota,80400,Species Unknown,8/4/2000,2558
Bay Sewage Plant,St Petersburg,Fish Kill,Pinellas,80500,Species Unknown,8/5/2000,2559
Unknown Water Body,St Petersburg,Fish Kill,Pinellas,80900,"Mullet, Sheepshead",8/9/2000,2562
Unknown Water Body,St Petersburg,Fish Kill,Pinellas,80900,Sheepshead,8/9/2000,2563
Sebastian River,Sebastian Inlet,Abnormal Appearance,Brevard,81000,"Mullet, Drum",8/10/2000,2564
Ortona Locks,Moore Haven,Abnormal Appearance,Glades,81200,"Bass, Brim, Bluegill, Catfish",8/12/2000,2565
Ortona Locks,North Port,Fish Kill,Sarasota,81200,"Bass, Gar, Bullhead, Brim",8/12/2000,2566
Marsh Creek - Tampa,Ruskin,Fish Kill,Hillsborough,81500,Species Unknown,8/15/2000,2567
Ruskin Inlet,Ruskin,Fish Kill,Hillsborough,81500,"Perch, Snook, Tarpon",8/15/2000,2568
Pinecrest Lakes,Jensen Beach,Fish Kill,Martin,81800,Catfish,8/18/2000,2569
Merritt Island Reserve,Port Orange,Abnormal Appearance,Volusia,81900,Trout,8/19/2000,2571
Anclote River,New Port Richey,Fish Kill,Hillsborough,82000,Species Unknown,8/20/2000,2572
Oakland Park,Fort Lauderdale,Abnormal Appearance,Broward,82000,"Eel, Baitfish",8/20/2000,2573
Charlotte Harbor,North Port,Fish Kill,Sarasota,82000,"Flounder, Baitfish",8/20/2000,2574
Hutchinson Island,St Lucie,Fish Kill,St. Lucie,82200,"Mullet, Snook, Menhaden",8/22/2000,2578
Lemon Bay,Sarasota,Fish Kill,Sarasota,82200,Whitefish,8/22/2000,2579
Doctor's Lake,Palatka,Fish Kill,Clay,82200,"American Shad, Brevortia",8/22/2000,2580
C-13 Canal,Lauderdale Lakes,Fish Kill,Broward,82200,"Bluegill, Crappie, Bass, Specs",8/22/2000,2582
Doctor's Lake,Orange Park,Fish Kill,Clay,82300,Species Unknown,8/23/2000,2583
Whitney's Marina,Orange Park,Fish Kill,Clay,82300,Bass,8/23/2000,2584
Cresent Lake,Crescent City,Fish Kill,Putnam,82500,"Carp, Catfish, Brim, Bass",8/25/2000,2585
Buckman Bridge,Jacksonville,Abnormal Appearance,Duval,82600,Species Unknown,8/26/2000,2586
Broward Everglased,Margate,Abnormal Appearance,Broward,82600,"Mullet, Catfish",8/26/2000,2587
Court & 31st Ave,Fort Lauderdale,Fish Kill,Broward,82800,Chinese Carp,8/28/2000,2590
Banana River,Cocoa Beach,Abnormal Appearance,Brevard,83000,Species Unknown,8/30/2000,2592
Unknown Water Body,St Petersburg,Fish Kill,Pinellas,83000,"Bass, Bluegill, Catfish, Eels",8/30/2000,2593
Banana River,Cocoa Beach,Abnormal Appearance,Brevard,83000,Species Unknown,8/30/2000,2594
Grand Canal,Holmes Beach,Fish Kill,Manatee,83000,"Mullet, Drum, Shiners",8/30/2000,2596
Unknown Water Body,Fort Lauderdale,Fish Kill,Broward,83000,Chinese Carp,8/30/2000,2597
Unknown Water Body,Panama City,Fish Kill,Bay,83000,Black Brim,8/30/2000,2598
Across from VA,St Petersburg,Fish Kill,Pinellas,83000,Bass,8/30/2000,2599
Spring Lake,Holmes Beach,Fish Kill,Manatee,83100,Species Unknown,8/31/2000,2600
Bayway Bridge,St Petersburg Beach,Fish Kill,Pinellas,83100,Species Unknown,8/31/2000,2601
Unknown Water Body,Terra Ceia,Fish Kill,Manatee,90100,Mullet,9/1/2000,2603
Unknown Water Body,Tallahassee,Fish Kill,Leon,90300,Species Unknown,9/3/2000,2604
Bowman Beach Inlet,Sanibel Island,Fish Kill,Lee,90300,Species Unknown,9/3/2000,2605
Cinco Bayou,Sanibel Island,Fish Kill,Lee,90300,"Mullet, Grouper",9/3/2000,2606
East River,Navarre,Fish Kill,Santa Rosa,90400,"Crabs, Baitfish,",9/4/2000,2608
East Bay,Navarre,Fish Kill,Santa Rosa,90400,"Catfish, Crabs",9/4/2000,2609
East Bay & East River,Navarre,Fish Kill,Santa Rosa,90500,Species Unknown,9/5/2000,2610
Unknown Water Body,Cape Coral,Abnormal Appearance,Lee,90500,Catfish,9/5/2000,2611
Medosta,New Port Richey,Fish Kill,Pinellas,90600,Species Unknown,9/6/2000,2612
Hillsborough River,Tampa,Fish Kill,Hillsborough,90800,Species Unknown,9/8/2000,2613
Hillsborough River,Tampa,Fish Kill,Hillsborough,90900,Species Unknown,9/9/2000,2614
Unknown Water Body,Milton,Fish Kill,Santa Rosa,90900,Mullet,9/9/2000,2615
Bayou Texar,Pensacola,Fish Kill,Escambia,90900,Species Unknown,9/9/2000,2616
Banana River,Merritt Island,Fish Kill,Brevard,91100,"Crabs, Flounder, Skates, Menhaden",9/11/2000,2617
Gerard Canal,Merritt Island,Fish Kill,Brevard,91100,"Crabs, Oysters, Menhaden",9/11/2000,2619
Unknown Water Body,Merritt Island,Fish Kill,Brevard,91200,Species Unknown,9/12/2000,2620
Callaway Bayou,Panama City,Fish Kill,Bay,91400,Species Unknown,9/14/2000,2621
Gulf Harbor Community,Fort Myers,Fish Kill,Lee,91800,Species Unknown,9/18/2000,2622
Unknown Water Body,Merritt Island,Fish Kill,Brevard,91900,Species Unknown,9/19/2000,2623
Johnson Bayou,Panama City,Abnormal Appearance,Bay,91900,Baitfish,9/19/2000,2624
Seagrove Beach,Seagrove Beach,Fish Kill,Walton,92000,Species Unknown,9/20/2000,2625
Unknown Water Body,Vero Beach,Fish Kill,Indian River,92000,Baitfish,9/20/2000,2627
Unknown Water Body,Miramar Beach,Fish Kill,Broward,92100,"Whiting, Mullet, Catfish",9/21/2000,2629
Miramar Beach - Choctawhatchee,Destin,Fish Kill,Okaloosa,92500,Species Unknown,9/25/2000,2631
Rockledge,Rockledge,Fish Kill,Brevard,92800,Sheepshead,9/28/2000,2633
Unknown Water Body,Unknown,Fish Kill,Unknown,92800,Species Unknown,9/28/2000,2634
Anclote Power Plant,Anclote,Mammal / Turtle,Pinellas,92900,Turtle,9/29/2000,2635
Unknown Water Body,Melbourne,Fish Kill,Brevard,100100,"Baitfish, Brim, Crappie",10/1/2000,2637
Stalworth Lake,Miramar,Fish Kill,Walton,100200,Species Unknown,10/2/2000,2638
Unknown Water Body,Miramar Beach,Fish Kill,Okaloosa,100200,Species Unknown,10/2/2000,2639
Midbay Bridge,Niceville,Fish Kill,Okaloosa,100200,"Croaker, Catfish, Alewife",10/2/2000,2640
Unknown Water Body,Fort Walton,Fish Kill,Okaloosa,100200,Species Unknown,10/2/2000,2641
